"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7895472",-0.040548517987745,9.46216336394569,-1.25269795654424,0.211246359865599,0.329702355134754,-6.45034384793686
"7896672",0.041508261416625,2.26347699530351,1.25254999688441,0.211300160331389,0.329770866583279,-6.45052789830579
"8084124",0.0155609675596127,2.13797510017572,1.25231148398502,0.211386908338895,0.329890789602558,-6.45082454458595
"7931029",-0.0354482782420653,2.92845947073802,-1.25189112557646,0.211539857190056,0.330114009694769,-6.45134722191513
"8070689",0.0262983131082582,3.71178349177636,1.25176164132382,0.211586986669726,0.330172082441741,-6.45150818877127
"8106068",-0.0437049079049109,8.5177865296262,-1.25167544708832,0.211618363743065,0.330190096417659,-6.45161533100291
"8177601",-0.0437049079049109,8.5177865296262,-1.25167544708832,0.211618363743065,0.330190096417659,-6.45161533100291
"7894265",0.0379225817915004,2.61928641371246,1.25159891026189,0.211646228086346,0.33021809927328,-6.45171046263914
"7938370",-0.0279363957455965,7.5023915480607,-1.25139077817878,0.211722015069552,0.330316553639491,-6.45196913179684
"8121515",0.0621118468325855,6.76690717911502,1.2513605884146,0.211733009682775,0.330316553639491,-6.45200664847668
"8147221",-0.0340548510012463,6.2484300589361,-1.25134388975736,0.211739091235886,0.330316553639491,-6.45202739943564
"8156309",-0.130756619597291,6.80404257015016,-1.25130600090007,0.211752890606128,0.330322604755786,-6.45207448185274
"8076962",0.035342237419907,5.56358007572843,1.25108893649739,0.211831959473284,0.33043046728108,-6.45234418874559
"8138231",-0.0629183487966098,4.98235923271885,-1.25074352746613,0.211957823936732,0.330611311360911,-6.452773270917
"7929536",0.0524000103453804,2.81095036692971,1.25058030034604,0.212017321565681,0.33068862451623,-6.45297599795484
"7893326",0.0560255558384012,2.52140614465176,1.25044075494018,0.212068196628489,0.330741456156355,-6.45314929168506
"8060765",-0.0347654656537888,4.26608901861661,-1.2504329013707,0.21207106012368,0.330741456156355,-6.45315904403008
"7969424",0.0176293585969177,2.55747158897125,1.25032166060305,0.212111622708693,0.330789223049569,-6.45329717322049
"8174226",0.0759283223524425,4.54688713649521,1.25009544399749,0.212194127198792,0.330900660976931,-6.45357803196152
"7925450",0.013102480198737,2.10853463312141,1.25007124134792,0.212202955636857,0.330900660976931,-6.45360807772963
